,DHC 올리브 버진 오일 면봉 아이 리무버 스틱 _0,DHC 올리브 버진 오일 면봉 아이 리무버 스틱 _1,키스미 히로인 메이크 마스카라 리무버 EX_0,키스미 히로인 메이크 마스카라 리무버 EX_1,크리니크 테이크 더 데이 오프 메이크업 리무버 포 리드   래쉬   립스_0,크리니크 테이크 더 데이 오프 메이크업 리무버 포 리드   래쉬   립스_1,포인트 딥클린 립앤아이리무버_0,포인트 딥클린 립앤아이리무버_1,라네즈 립 아이리무버_0,라네즈 립 아이리무버_1,에뛰드 컬 픽스 마스카라 리무버_0,에뛰드 컬 픽스 마스카라 리무버_1,미샤 퍼펙트 립앤아이 메이크업 리무버_0,미샤 퍼펙트 립앤아이 메이크업 리무버_1,아리따움 뽀오얀 미소 발효 립 아이 리무버_0,아리따움 뽀오얀 미소 발효 립 아이 리무버_1,스킨푸드 밀크쉐이크 포인트 메이크업 리무버_0,스킨푸드 밀크쉐이크 포인트 메이크업 리무버_1,구달 사과 아하 매끈 패드_0,구달 사과 아하 매끈 패드_1,시드물 녹차 필링젤_0,시드물 녹차 필링젤_1,프리메라 페이셜 마일드 필링_0,프리메라 페이셜 마일드 필링_1,더샘 셀 리뉴 바이오 마이크로 필 소프트 젤_0,더샘 셀 리뉴 바이오 마이크로 필 소프트 젤_1,참존 뉴 콘트롤크림_0,참존 뉴 콘트롤크림_1,클레어스 젠틀블랙슈거페이셜폴리쉬_0,클레어스 젠틀블랙슈거페이셜폴리쉬_1,참존 콘트롤크림 셀프 마사지_0,참존 콘트롤크림 셀프 마사지_1,세컨디자인 스프링이 필링 젤 톤업 부스트_0,세컨디자인 스프링이 필링 젤 톤업 부스트_1,나인위시스 라이스 파우더 폴리쉬_0,나인위시스 라이스 파우더 폴리쉬_1,스킨푸드 발사믹 오일 필링 마일드 젤_0,스킨푸드 발사믹 오일 필링 마일드 젤_1,비욘드 바디리프팅 이지 필링 페이셜 스크럽_0,비욘드 바디리프팅 이지 필링 페이셜 스크럽_1,엘러브 필앤필 카밍   릴리프 필링패드_0,엘러브 필앤필 카밍   릴리프 필링패드_1,프리메라 페이셜 인텐시브 필링_0,프리메라 페이셜 인텐시브 필링_1,브라운랩 마일드S 데일리 필링패드_0,브라운랩 마일드S 데일리 필링패드_1,나이팅게일 토닝 필링패드  티트리 _0,나이팅게일 토닝 필링패드  티트리 _1,스킨푸드 블랙슈가 퍼펙트 에센셜 스크럽  X_0,스킨푸드 블랙슈가 퍼펙트 에센셜 스크럽  X_1,셀리맥스 지우개 패드_0,셀리맥스 지우개 패드_1,투쿨포스쿨 맥걸리 고두밥 스크럽_0,투쿨포스쿨 맥걸리 고두밥 스크럽_1,파파레서피 가지 클리어링 필링 패드 토너_0,파파레서피 가지 클리어링 필링 패드 토너_1,VDL 네이키드 페이셜 엑스폴리언트_0,VDL 네이키드 페이셜 엑스폴리언트_1,어퓨 버블 버블 메이커_0,어퓨 버블 버블 메이커_1,시드물 거품망 버블메이커_0,시드물 거품망 버블메이커_1,미샤 휘핑 버블 메이커_0,미샤 휘핑 버블 메이커_1,에뛰드 마이뷰티툴 버블 메이커_0,에뛰드 마이뷰티툴 버블 메이커_1,이니스프리 뷰티툴 크리미 버블 메이커_0,이니스프리 뷰티툴 크리미 버블 메이커_1,다이소 오가닉팜 버블메이커 샤워볼_0,다이소 오가닉팜 버블메이커 샤워볼_1,시크릿키 블랙 아웃 듀얼 포어 브러쉬_0,시크릿키 블랙 아웃 듀얼 포어 브러쉬_1,이니스프리 뷰티툴 화산송이 곤약 클렌징 스펀지_0,이니스프리 뷰티툴 화산송이 곤약 클렌징 스펀지_1,아리따움 버블 거품망_0,아리따움 버블 거품망_1,올리브영 버블 거품망_0,올리브영 버블 거품망_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.62962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,3.76569,63.15789,91.37254,81.6568,0.0,0.0,18.75,39.18918,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.26537,28.80354,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,48.3173,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.92592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,5.08069,55.38847,66.2745,55.6213,10.20408,0.0,17.1875,32.43243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,20.14475,23.33825,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,21.39423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68977,87.21804,60.78431,43.78698,0.0,0.0,13.02083,36.93693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16.04342,44.75627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,14.18269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51046,82.70676,59.21568,31.95266,0.0,0.0,11.97916,29.72972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.21471,40.02954,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.80952,0.0,0.0,20.43269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.25925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.37955,80.2005,55.29411,33.72781,0.0,0.0,11.45833,37.83783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67792,31.46233,0.0,0.0,0.0,0.0,0.0,0.0,12.0,29.5238,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.62962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1291,92.98245,54.5098,60.94674,14.28571,0.0,15.10416,34.23423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.77563,26.58788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5238,0.0,0.0,79.80769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.48148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.71069,63.90977,50.19607,51.47928,10.20408,0.0,11.45833,32.43243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.09047,28.65583,0.0,0.0,0.0,0.0,0.0,0.0,9.33333,18.09523,0.0,0.0,43.50961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.59259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63478,60.15037,40.0,67.45562,0.0,0.0,16.14583,35.58558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.00482,23.92909,0.0,0.0,0.0,0.0,0.0,0.0,14.66666,0.0,0.0,0.0,32.21153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69456,60.401,42.35294,52.071,12.24489,0.0,37.5,17.56756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,22.67792,19.64549,0.0,0.0,0.0,0.0,0.0,0.0,14.66666,0.0,0.0,0.0,24.27884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,59.25925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5.20023,58.64661,51.37254,40.23668,20.40816,0.0,12.5,22.97297,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24969,23.04283,0.0,0.0,0.0,0.0,0.0,0.0,21.33333,5.71428,0.0,0.0,15.86538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
