,유노하나 유노하나 파우더_0,유노하나 유노하나 파우더_1,러쉬 더 컴포터_0,러쉬 더 컴포터_1,플루 바디 밸런스 스크럽_0,플루 바디 밸런스 스크럽_1,비욘드 토탈 리커버리 샤워크림_0,비욘드 토탈 리커버리 샤워크림_1,플루 바디 밸런스 더 프리미엄 에디션_0,플루 바디 밸런스 더 프리미엄 에디션_1,러쉬 섹스 밤_0,러쉬 섹스 밤_1,사봉 바디스크럽   로즈티_0,사봉 바디스크럽   로즈티_1,러쉬 브라이트사이드_0,러쉬 브라이트사이드_1,온더바디 벨먼 내추럴 스파 사해소금 스크럽 바디워시_0,온더바디 벨먼 내추럴 스파 사해소금 스크럽 바디워시_1,비욘드 딥 모이스처 샤워 크림_0,비욘드 딥 모이스처 샤워 크림_1,온더바디 스파 내추럴 테라피 블랙로즈 사해소금 스크럽 바디워시_0,온더바디 스파 내추럴 테라피 블랙로즈 사해소금 스크럽 바디워시_1,러쉬 써니사이드_0,러쉬 써니사이드_1,해피바스 스킨유 스킨에멀전 샤워젤_0,해피바스 스킨유 스킨에멀전 샤워젤_1,러쉬 인터갈락틱_0,러쉬 인터갈락틱_1,사봉 바디스크럽   딜리케이트 자스민_0,사봉 바디스크럽   딜리케이트 자스민_1,지오마 리모델링 스크럽_0,지오마 리모델링 스크럽_1,일리윤 세라마이드 아토     탑투토워시_0,일리윤 세라마이드 아토     탑투토워시_1,지오마 이몰리언트 바디스크럽_0,지오마 이몰리언트 바디스크럽_1,더바디샵 핑크 그레이프후룻 샤워젤_0,더바디샵 핑크 그레이프후룻 샤워젤_1,지오마 피치코코 스크럽_0,지오마 피치코코 스크럽_1,나인위시스 화이트 톤업 바디 세럼  SPF   _0,나인위시스 화이트 톤업 바디 세럼  SPF   _1,겔랑 꼬끄 도르 퍼퓸드 쉬머 파우더 바디   헤어_0,겔랑 꼬끄 도르 퍼퓸드 쉬머 파우더 바디   헤어_1,코스노리 샤이닝 드레스 크림_0,코스노리 샤이닝 드레스 크림_1,오스트레일리안골드 코나커피 태닝로션 브론저  SPF   _0,오스트레일리안골드 코나커피 태닝로션 브론저  SPF   _1,오샐런스 보데나 렉스 스프레이_0,오샐런스 보데나 렉스 스프레이_1,베네피트 훌라 제로 탠 라인 바디 브론저_0,베네피트 훌라 제로 탠 라인 바디 브론저_1,록시땅 피브완 플로라 쉬머링 오일_0,록시땅 피브완 플로라 쉬머링 오일_1,페이스인페이스 원더렉스_0,페이스인페이스 원더렉스_1,러쉬 쉼미 쉼미_0,러쉬 쉼미 쉼미_1,밀키드레스 더 샤인 바디밤_0,밀키드레스 더 샤인 바디밤_1,베네피트 테이크 어 픽쳐 잇 래스트 롱거_0,베네피트 테이크 어 픽쳐 잇 래스트 롱거_1,라네즈 스파클링 바디쿠션_0,라네즈 스파클링 바디쿠션_1,스키니탠    아워 브론저_0,스키니탠    아워 브론저_1,세포라 컬렉션 그래듀얼 셀프 태닝 바디 로션_0,세포라 컬렉션 그래듀얼 셀프 태닝 바디 로션_1,오스트레일리안골드 그래주얼 선레스 셀프태닝 로션_0,오스트레일리안골드 그래주얼 선레스 셀프태닝 로션_1,세포라 컬렉션 글리터 하이라이터 글리터 젤_0,세포라 컬렉션 글리터 하이라이터 글리터 젤_1,부르조아 드 솔레일 브론징 페이스 바디 스프레이_0,나스 모노이 바디 글로우 브론징 바디 오일_0,나스 모노이 바디 글로우 브론징 바디 오일_1,펜티뷰티 바디 라바 바디 루미나이저_0,펜티뷰티 바디 라바 바디 루미나이저_1,러쉬 블랙 스타킹스_0,러쉬 블랙 스타킹스_1
10,0.0,0.0,57.75862,23.61111,34.69387,0.0,0.0,62.5,0.0,0.0,91.17647,59.18918,0.0,0.0,0.0,43.75,0.0,0.0,42.10526,0.0,0.0,0.0,14.28571,67.85714,0.0,0.0,25.58139,25.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,56.03448,13.88888,36.73469,0.0,0.0,0.0,0.0,0.0,75.0,64.86486,0.0,0.0,0.0,0.0,0.0,0.0,36.8421,0.0,0.0,0.0,12.24489,53.57142,0.0,0.0,23.25581,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,64.65517,34.72222,38.77551,27.77777,0.0,37.5,0.0,0.0,65.44117,54.86486,0.0,0.0,53.33333,50.0,0.0,0.0,0.0,0.0,0.0,0.0,16.32653,100.0,0.0,0.0,11.6279,38.88888,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,43.96551,26.38888,22.44897,38.88888,0.0,0.0,0.0,0.0,50.36764,62.16216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.44897,71.42857,0.0,0.0,25.58139,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,48.27586,22.22222,67.34693,27.77777,0.0,31.25,0.0,0.0,63.97058,68.1081,0.0,0.0,60.0,50.0,0.0,0.0,0.0,56.25,0.0,0.0,10.20408,76.78571,0.0,0.0,34.88372,47.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,56.03448,26.38888,46.93877,27.77777,0.0,56.25,0.0,0.0,56.98529,62.16216,100.0,0.0,40.0,43.75,0.0,0.0,26.31578,0.0,0.0,0.0,24.48979,78.57142,0.0,0.0,39.53488,63.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,92.24137,31.94444,18.36734,0.0,0.0,68.75,0.0,0.0,44.48529,48.91891,0.0,0.0,0.0,62.5,0.0,0.0,47.36842,37.5,0.0,0.0,40.81632,53.57142,0.0,0.0,23.25581,36.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,43.96551,41.66666,38.77551,0.0,0.0,0.0,0.0,0.0,62.13235,62.16216,0.0,0.0,46.66666,43.75,0.0,0.0,0.0,56.25,0.0,0.0,48.97959,76.78571,0.0,0.0,25.58139,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,63.7931,34.72222,34.69387,0.0,0.0,31.25,0.0,0.0,61.39705,67.29729,0.0,0.0,40.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,44.89795,78.57142,0.0,0.0,30.23255,27.77777,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,33.62068,40.27777,53.06122,33.33333,0.0,56.25,0.0,0.0,71.32352,47.83783,0.0,0.0,0.0,37.5,0.0,0.0,31.57894,0.0,0.0,0.0,34.69387,67.85714,0.0,0.0,27.90697,30.55555,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
