,오스트레일리안골드 태닝 오일 스프레이  SPF  _0,오스트레일리안골드 태닝 오일 스프레이  SPF  _1,하와이안 트로픽 다크 태닝 오일_0,하와이안 트로픽 다크 태닝 오일_1,디자이너스킨 쥬시 디자이어   X 브론저 태닝로션_0,디자이너스킨 쥬시 디자이어   X 브론저 태닝로션_1,바나나보트 딥 태닝오일_0,바나나보트 딥 태닝오일_1,오스트레일리안골드 엑셀러레이터 다크 태닝스프레이젤_0,오스트레일리안골드 엑셀러레이터 다크 태닝스프레이젤_1,오스트레일리안골드 인텐시파이어 브론징 드라이 태닝오일 스프레이_0,오스트레일리안골드 인텐시파이어 브론징 드라이 태닝오일 스프레이_1,비엘렌다 매직 브론즈 셀프태닝 오일 미스트_0,비엘렌다 매직 브론즈 셀프태닝 오일 미스트_1,디자이너스킨 블랙 누아르   X 태닝로션_0,디자이너스킨 블랙 누아르   X 태닝로션_1,오스트레일리안골드 셀프 태닝로션_0,오스트레일리안골드 셀프 태닝로션_1,디자이너스킨 일루시브   X 다크 태닝로션_0,디자이너스킨 일루시브   X 다크 태닝로션_1,오스트레일리안골드 엑셀레이터 다크 태닝로션 브론저_0,오스트레일리안골드 엑셀레이터 다크 태닝로션 브론저_1,디자이너스킨 글램 슬램 듀얼 브론징 태닝로션_0,디자이너스킨 글램 슬램 듀얼 브론징 태닝로션_1,디자이너스킨 디바인리 쥬시 저자극성 인텐시파이어 얼굴 태닝로션_0,디자이너스킨 디바인리 쥬시 저자극성 인텐시파이어 얼굴 태닝로션_1,디자이너스킨   캐럿 골드러쉬   X 브론저 태닝로션_0,디자이너스킨   캐럿 골드러쉬   X 브론저 태닝로션_1,스키니탠 그래쥬얼 태너_0,스키니탠 그래쥬얼 태너_1,하와이안 트로픽 다크 태닝오일 선스크린 스프레이  SPF  _0,하와이안 트로픽 다크 태닝오일 선스크린 스프레이  SPF  _1,캐리비안 다크태닝 스프레이 오일_0,캐리비안 다크태닝 스프레이 오일_1,일리윤 세라마이드 아토 수딩 젤_0,일리윤 세라마이드 아토 수딩 젤_1,홀리카홀리카 알로에     수딩젤_0,홀리카홀리카 알로에     수딩젤_1,아로마티카 유기농 알로에 베라 젤_0,아로마티카 유기농 알로에 베라 젤_1,사임당화장품 알로젤_0,사임당화장품 알로젤_1,토니모리 알로에     촉촉 수딩젤_0,토니모리 알로에     촉촉 수딩젤_1,A24 캘리포니안 네이처 스킨 수딩겔_0,A24 캘리포니안 네이처 스킨 수딩겔_1,홀리카홀리카 알로에    수딩젤  프레쉬 _0,홀리카홀리카 알로에    수딩젤  프레쉬 _1,비욘드 제주 대나무 수딩젤_0,비욘드 제주 대나무 수딩젤_1,시드물 알로에 에센셜_0,시드물 알로에 에센셜_1,홀리카홀리카 알로에     수딩로션 인텐시브 모이스쳐라이징_0,홀리카홀리카 알로에     수딩로션 인텐시브 모이스쳐라이징_1,라네즈 프레시 카밍 퀵 모닝 마스크_0,라네즈 프레시 카밍 퀵 모닝 마스크_1,더페이스샵 신선한 제주 알로에 수딩젤_0,더페이스샵 신선한 제주 알로에 수딩젤_1,스킨푸드 허니 촉촉 보습 젤   _0,스킨푸드 허니 촉촉 보습 젤   _1,시드물 티트리 에센셜_0,시드물 티트리 에센셜_1,에뛰드 순정 수분 진정 올인원 젤_0,에뛰드 순정 수분 진정 올인원 젤_1,더샘 제주 생생 알로에 수딩 젤    _0,더샘 제주 생생 알로에 수딩 젤    _1,시드물 알로에 베라     수딩겔_0,시드물 알로에 베라     수딩겔_1,프럼네이처 이초이스 알로에베라 수딩 젤_0,프럼네이처 이초이스 알로에베라 수딩 젤_1,미샤 프리미엄 알로에 수딩젤_0,미샤 프리미엄 알로에 수딩젤_1,마녀공장 알로에 수딩 젤_0,마녀공장 알로에 수딩 젤_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.71794,26.21359,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05263,86.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,54.28571
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.53191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,63.10679,0.0,26.31578,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.88304,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42857
12,0.0,0.0,26.31578,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.95744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5641,33.98058,31.57894,31.57894,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.20467,61.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,34.28571
13,0.0,0.0,0.0,73.68421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.68085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.51282,40.77669,0.0,36.8421,0.0,81.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.54385,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.28571
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.31914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.10256,33.0097,26.31578,31.57894,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.03508,51.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
15,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.87234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6923,75.72815,31.57894,0.0,0.0,81.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.45029,86.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42857
16,0.0,0.0,73.68421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.95744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5641,39.80582,36.8421,52.63157,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.88304,76.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.65957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61538,36.8932,31.57894,47.36842,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.63742,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.14285
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.65957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,40.77669,0.0,0.0,60.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.90058,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17.14285
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.95744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.87179,57.28155,52.63157,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.03508,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.34042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,55.3398,47.36842,36.8421,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05263,48.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.14285
21,0.0,0.0,0.0,47.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.85106,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.58974,51.45631,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.54385,51.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,30.09708,26.31578,0.0,0.0,90.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.20467,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,25.71428
23,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.31914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5641,33.98058,36.8421,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2807,71.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.71428
24,0.0,0.0,47.36842,63.15789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.85106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.71794,45.63106,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.71345,98.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.82978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,49.51456,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.23976,88.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.95744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.64102,41.74757,31.57894,42.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05263,68.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.28571
27,0.0,0.0,63.15789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.48936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.07692,59.2233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.71345,61.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.0
28,0.0,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.94871,29.12621,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9766,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.95744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.74358,30.09708,42.10526,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.29824,73.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.70212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.87179,49.51456,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.95906,80.0,0.0,0.0,0.0,62.85714,0.0,0.0,0.0,0.0,0.0,44.66019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.31914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.25641,56.31067,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.80701,98.33333,0.0,0.0,0.0,62.85714,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.06382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.38461,50.48543,31.57894,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.37426,56.66666,0.0,0.0,0.0,25.71428,0.0,0.0,0.0,0.0,0.0,33.98058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0
