,아모스프로페셔널 리페어포스 키토 트리트먼트_0,아모스프로페셔널 리페어포스 키토 트리트먼트_1,아모스프로페셔널 리페어포스 키토 트리트먼트 CMC_0,아모스프로페셔널 리페어포스 키토 트리트먼트 CMC_1,츠바키 프리미엄 리페어 마스크_0,츠바키 프리미엄 리페어 마스크_1,미쟝센 퍼펙트  분 살롱 마스크팩_0,미쟝센 퍼펙트  분 살롱 마스크팩_1,로레알 파리 토탈 리페어   인스턴트 미라클 헤어팩_0,로레알 파리 토탈 리페어   인스턴트 미라클 헤어팩_1,모레모 리커버리 밤 B_0,모레모 리커버리 밤 B_1,존프리다 프리즈이즈 미라큘러스 리커버리 딥 컨디셔너_0,존프리다 프리즈이즈 미라큘러스 리커버리 딥 컨디셔너_1,아모스프로페셔널 칼라포스 리브 인 트리트먼트_0,아모스프로페셔널 칼라포스 리브 인 트리트먼트_1,아쿠아더마 아쿠아큐링 헤어트리트먼트_0,아쿠아더마 아쿠아큐링 헤어트리트먼트_1,허니체 데미지 리페어 헤어 마스크_0,허니체 데미지 리페어 헤어 마스크_1,헤드스파7 트리트먼트_0,헤드스파7 트리트먼트_1,에스테티카 릴렉스 헤어마스크_0,에스테티카 릴렉스 헤어마스크_1,투쿨포스쿨 에그 레미디 헤어 팩_0,투쿨포스쿨 에그 레미디 헤어 팩_1,허니체 딥 모이스트 리페어 헤어 마스크_0,허니체 딥 모이스트 리페어 헤어 마스크_1,허니체 모이스처 헤어 마스크 와이_0,허니체 모이스처 헤어 마스크 와이_1,닥터포헤어 카올린 스칼프 팩_0,닥터포헤어 카올린 스칼프 팩_1,팬틴 골든미라클 트리트먼트  극손상케어 _0,팬틴 골든미라클 트리트먼트  극손상케어 _1,레이티드 그린 리얼시어 프로틴 리차징 리브인 트리트먼트_0,레이티드 그린 리얼시어 프로틴 리차징 리브인 트리트먼트_1,모레모 헤어 트리트먼트 미라클  X_0,모레모 헤어 트리트먼트 미라클  X_1,무코타 I 트리트먼트_0,무코타 I 트리트먼트_1,커리쉴 루트 레미디 스칼프 토닉_0,커리쉴 루트 레미디 스칼프 토닉_1,피토더마 티테라피 두피팅처_0,피토더마 티테라피 두피팅처_1,라우쉬 스위스 허벌 헤어 토닉_0,라우쉬 스위스 허벌 헤어 토닉_1,아모스프로페셔널 녹차실감 인텐시브 토닉_0,아모스프로페셔널 녹차실감 인텐시브 토닉_1,테라픽 프리미엄 토탈 헤어토닉_0,테라픽 프리미엄 토탈 헤어토닉_1,달리프 클로렐라 베러 루트 헤어토닉_0,달리프 클로렐라 베러 루트 헤어토닉_1,애터미 애터미 액 탈모케어 _0,애터미 애터미 액 탈모케어 _1,시드물 닥터트럽 스칼프 토닉_0,시드물 닥터트럽 스칼프 토닉_1,아베다 인바티 어드밴스드  스칼프 리바이탈라이저_0,아베다 인바티 어드밴스드  스칼프 리바이탈라이저_1,아로마티카 로즈마리 루트 인핸서_0,아로마티카 로즈마리 루트 인핸서_1,라우쉬 오리지널 헤어 팅크처_0,라우쉬 오리지널 헤어 팅크처_1,비욘드 프로페셔널 디펜스 스캘프 토닉_0,비욘드 프로페셔널 디펜스 스캘프 토닉_1,리클리 RECLE AP 데일리 스칼프 토닉  리클리 토닉 _0,리클리 RECLE AP 데일리 스칼프 토닉  리클리 토닉 _1,닥터포헤어 세범 컨트롤 토닉_0,닥터포헤어 세범 컨트롤 토닉_1,다슈 데일리 안티 헤어로스 허브 헤어토닉_0,다슈 데일리 안티 헤어로스 허브 헤어토닉_1,힐링버드 스칼프 클리어센트 스틱  프리지아 그린부케 향 _0,힐링버드 스칼프 클리어센트 스틱  프리지아 그린부케 향 _1,프리메라 블랙씨드 스칼프 릴리프 헤어 토닉_0,프리메라 블랙씨드 스칼프 릴리프 헤어 토닉_1,달리프 클로렐라 베러 루트 쿨링 스프레이_0,달리프 클로렐라 베러 루트 쿨링 스프레이_1,닥터포헤어 폴리젠 스팟 이펙터_0,닥터포헤어 폴리젠 스팟 이펙터_1,어헤즈 프리미엄 히든 테라피 토닉_0,어헤즈 프리미엄 히든 테라피 토닉_1
10,0.0,0.0,0.0,0.0,65.51724,15.72327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1846,15.82374,29.41176,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04347,19.56521,0.0,0.0,80.0,11.57024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,90.47619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,100.0,21.69811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.16477,13.5446,35.29411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43478,13.04347,0.0,0.0,100.0,15.70247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,38.09523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0
12,0.0,0.0,0.0,0.0,54.02298,25.15723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.92971,27.67527,47.05882,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17.3913,17.3913,0.0,0.0,40.0,12.39669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,47.61904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66666,75.0
13,0.0,0.0,0.0,0.0,58.62068,20.75471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.53076,20.6642,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,19.56521,0.0,0.0,34.28571,23.14049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66666
14,0.0,0.0,0.0,0.0,60.91954,19.18238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.42723,30.73583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,15.21739,0.0,0.0,0.0,65.71428,14.87603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.38461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0
15,0.0,0.0,0.0,0.0,50.57471,23.5849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.44415,26.85044,0.0,0.0,30.0,55.55555,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,10.86956,0.0,0.0,38.57142,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666
16,0.0,0.0,0.0,0.0,55.17241,18.86792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.56459,23.18211,29.41176,30.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.34782,0.0,0.0,0.0,30.0,23.14049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0
17,0.0,0.0,0.0,0.0,60.91954,13.20754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.59317,22.11851,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43478,52.17391,0.0,0.0,27.14285,19.00826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,28.57142,0.0,62.5,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333
18,0.0,0.0,0.0,0.0,45.97701,17.61006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.15164,20.6642,35.29411,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,34.7826,0.0,0.0,28.57142,10.7438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,23.80952,0.0,62.5,0.0,0.0,0.0,0.0,0.0,23.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,51.72413,34.27672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,20.29746,21.40221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13043,0.0,0.0,34.28571,7.43801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,33.33333,0.0,100.0,0.0,0.0,0.0,0.0,0.0,42.30769,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,41.66666,0.0
