,스킨푸드 로열허니 프로폴리스 인리치 에센스_0,스킨푸드 로열허니 프로폴리스 인리치 에센스_1,세렌디뷰티 레드 프로폴리스 트리플 앰플_0,세렌디뷰티 레드 프로폴리스 트리플 앰플_1,더마토리 프로 히알샷 물광 앰플_0,더마토리 프로 히알샷 물광 앰플_1,미샤 비타씨플러스 잡티씨 탄력앰플_0,미샤 비타씨플러스 잡티씨 탄력앰플_1,빌리프 유쓰 크리에이터 에이지 넉다운 밤_0,빌리프 유쓰 크리에이터 에이지 넉다운 밤_1,록시땅 이모르뗄 오버나이트 리셋 오일 인 세럼_0,록시땅 이모르뗄 오버나이트 리셋 오일 인 세럼_1,이즈앤트리 히아루론산 워터 에센스_0,이즈앤트리 히아루론산 워터 에센스_1,하루하루 원더 블랙라이스 히알루로닉 에센스_0,하루하루 원더 블랙라이스 히알루로닉 에센스_1,로지컬리스킨 아쿠아타이드 리서페이스 세럼_0,로지컬리스킨 아쿠아타이드 리서페이스 세럼_1,에스티 로더 어드밴스드 나이트 리페어 인텐스 리셋 컨센트레이트_0,에스티 로더 어드밴스드 나이트 리페어 인텐스 리셋 컨센트레이트_1,제로이드 인텐시브 오인트 크림_0,제로이드 인텐시브 오인트 크림_1,센텔리안24 마데카크림 파워 부스팅 포뮬러_0,센텔리안24 마데카크림 파워 부스팅 포뮬러_1,미샤 수퍼 아쿠아 울트라 히알론 크림_0,미샤 수퍼 아쿠아 울트라 히알론 크림_1,에스트라 아토베리어     크림_0,에스트라 아토베리어     크림_1,아이오페 슈퍼바이탈 크림 리치_0,아이오페 슈퍼바이탈 크림 리치_1,아티스트리 하이드라V 모이스처 크림_0,아티스트리 하이드라V 모이스처 크림_1,에스티 로더 리바이탈라이징 수프림  나이트 인텐시브 크림_0,에스티 로더 리바이탈라이징 수프림  나이트 인텐시브 크림_1,유세린 우레아 리페어 크림_0,유세린 우레아 리페어 크림_1,엘러브 듀얼 블루밍 캡슐 앰플   하이드라 바이탈라이징 크림_0,엘러브 듀얼 블루밍 캡슐 앰플   하이드라 바이탈라이징 크림_1,유리프 셋업 크림_0,유리프 셋업 크림_1,AHC 에이지리스 리얼 아이크림 포 페이스_0,AHC 에이지리스 리얼 아이크림 포 페이스_1,한율 어린쑥 수분진정 크림_0,한율 어린쑥 수분진정 크림_1,보타니티 플라본 인텐시브 크림_0,보타니티 플라본 인텐시브 크림_1,닥터벨머 어드밴스드 시카 수분 크림_0,닥터벨머 어드밴스드 시카 수분 크림_1,더마토리 하이포알러제닉 모이스처라이징 밤 크림_0,더마토리 하이포알러제닉 모이스처라이징 밤 크림_1,Dr.G 필라그린 배리어 밤_0,Dr.G 필라그린 배리어 밤_1,블랑풀 필터크림_0,블랑풀 필터크림_1,더샘 더마 플랜 울트라 밤 크림_0,더샘 더마 플랜 울트라 밤 크림_1,참존 마유 크림 엑스트라 골든 컴플렉스_0,참존 마유 크림 엑스트라 골든 컴플렉스_1,강남이스트 투엑스 아쿠아 카밍 크림_0,강남이스트 투엑스 아쿠아 카밍 크림_1,홀리카홀리카 굳세라 수퍼 세라마이드 미스트_0,홀리카홀리카 굳세라 수퍼 세라마이드 미스트_1,라네즈 크림 스킨 미스트_0,라네즈 크림 스킨 미스트_1,보타닉힐 보 더마 인텐시브 판테놀 크림 미스트_0,보타닉힐 보 더마 인텐시브 판테놀 크림 미스트_1,CNP 프로폴리스 앰플 미스트_0,CNP 프로폴리스 앰플 미스트_1,식물나라 티트리 카밍 미스트_0,식물나라 티트리 카밍 미스트_1,숨37˚ 워터 풀 타임리스 워터 젤 미스트_0,숨37˚ 워터 풀 타임리스 워터 젤 미스트_1,클레어스 펀더멘탈 앰플 미스트_0,클레어스 펀더멘탈 앰플 미스트_1,샤넬 보떼 이니샬 에너자이징 멀티 프로텍션 컨센트레이트 스프레이 쎄럼_0,샤넬 보떼 이니샬 에너자이징 멀티 프로텍션 컨센트레이트 스프레이 쎄럼_1,비어썸 오우썸 하이드레이팅 오가닉 더블미스트_0,비어썸 오우썸 하이드레이팅 오가닉 더블미스트_1,CNP 뮤제너 앰플 미스트_0,CNP 뮤제너 앰플 미스트_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.13402,46.0396,0.0,9.21052,0.0,0.0,29.39001,52.90519,58.45588,79.22077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,0.0,46.84159,42.32365,0.0,0.0,0.0,25.92592,68.57142,33.33333,0.0,0.0,0.0,0.93071,0.0,0.0,56.69132,86.95318,0.0,0.0,0.0,0.0,2.55348,82.1256,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.28865,31.68316,0.0,10.52631,0.0,0.0,20.14787,66.51376,52.57352,70.12987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.16666,30.43478,38.38678,40.87136,0.0,0.0,52.94117,29.62962,80.95238,100.0,0.0,0.0,0.0,1.13753,0.0,55.55555,55.81708,84.72755,0.0,0.0,50.0,0.0,2.20841,71.01449,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.53608,45.0495,0.0,6.57894,0.0,0.0,32.3475,60.70336,50.36764,81.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.30806,36.30705,0.0,0.0,0.0,25.92592,71.42857,43.73333,0.0,0.0,0.8273,0.93071,0.0,0.0,61.86953,85.72524,0.0,0.0,0.0,0.0,1.44927,92.27053,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,85.71428,0.0,0.0,38.88888,35.29411,0.0,0.0,0.0,0.0,0.0,0.0,87.62886,36.13861,0.0,15.78947,0.0,0.0,17.92975,60.24464,44.48529,67.53246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,26.08695,32.26433,28.21576,0.0,0.0,0.0,62.96296,47.61904,40.53333,0.0,0.0,0.72388,1.6546,0.0,55.55555,64.49226,93.47659,0.0,0.0,0.0,0.0,2.27743,56.52173,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,72.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.47422,28.21782,0.0,13.15789,0.0,0.0,18.85397,61.46788,54.77941,82.46753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,25.26724,35.68464,0.0,0.0,0.0,77.77777,70.47619,36.8,0.0,0.0,0.0,1.86142,50.0,0.0,75.72293,92.63238,0.0,0.0,0.0,0.0,1.51828,52.17391,0.0,0.0,55.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.13402,32.17821,0.0,10.52631,0.33715,0.0,9.0573,50.76452,35.66176,68.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.09815,71.78423,0.0,0.0,0.0,55.55555,85.71428,32.0,0.0,0.0,0.93071,0.8273,0.0,0.0,71.68796,88.79508,0.0,0.0,0.0,0.0,3.03657,70.0483,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.79381,72.27722,0.0,7.89473,0.0,0.0,10.3512,72.47706,70.22058,66.88311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,0.0,37.02623,64.31535,0.0,0.0,0.0,22.22222,70.47619,50.93333,0.0,0.0,1.24095,0.93071,0.0,0.0,74.57969,82.34842,0.0,0.0,0.0,0.0,3.38164,73.42995,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.63917,68.81188,0.0,14.47368,0.0,0.0,14.97227,70.6422,66.54411,82.46753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,44.89795,56.639,0.0,0.0,0.0,22.22222,79.04761,60.53333,0.0,0.0,0.93071,1.34436,0.0,0.0,71.48621,76.132,0.0,0.0,0.0,0.0,4.41683,82.1256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.25773,75.24752,53.84615,15.78947,0.0,0.0,11.6451,61.00917,67.27941,78.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.84742,53.9419,0.0,0.0,0.0,29.62962,97.14285,38.4,0.0,0.0,1.24095,0.8273,0.0,0.0,83.18762,80.04604,0.0,0.0,0.0,0.0,6.83229,75.36231,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.47422,63.86138,0.0,36.8421,0.0,0.0,8.31792,73.39449,53.67647,81.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,0.0,30.90379,54.77178,0.0,0.0,0.0,22.22222,59.04761,33.06666,0.0,0.0,1.03412,1.34436,50.0,0.0,82.91862,73.21565,0.0,0.0,0.0,0.0,6.97032,61.83574,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
