,레어카인드 미니앨범  집  쉐딩 _0,레어카인드 미니앨범  집  쉐딩 _1,미샤 코튼 컨투어_0,미샤 코튼 컨투어_1,투쿨포스쿨 아트클래스 바이 로댕_0,투쿨포스쿨 아트클래스 바이 로댕_1,삐아 라스트 블러쉬  쉐딩 _0,삐아 라스트 블러쉬  쉐딩 _1,에스쁘아 컨투어 파우더_0,에스쁘아 컨투어 파우더_1,페리페라 잉크 브이 쉐딩_0,페리페라 잉크 브이 쉐딩_1,롬앤 베러 댄 쉐입_0,롬앤 베러 댄 쉐입_1,이글립스 슬림 핏 쉐딩_0,이글립스 슬림 핏 쉐딩_1,아리따움 매직 컨투어링 파우더_0,아리따움 매직 컨투어링 파우더_1,베네피트 훌라 라이트_0,베네피트 훌라 라이트_1,삐아 라스트 컨투어링_0,삐아 라스트 컨투어링_1,블랙루즈 업 앤 다운 트리플 컨투어링_0,블랙루즈 업 앤 다운 트리플 컨투어링_1,이니스프리 마이 컨투어링_0,이니스프리 마이 컨투어링_1,케빈어코인 더 스컬프팅 파우더_0,케빈어코인 더 스컬프팅 파우더_1,미샤 벨벳 라이크 컬러 스틱 쉐딩 _0,미샤 벨벳 라이크 컬러 스틱 쉐딩 _1,클리오 킬 커버 프로 아티스트 리퀴드 쉐이딩_0,클리오 킬 커버 프로 아티스트 리퀴드 쉐이딩_1,맥퀸뉴욕 페이크 업  색 쉐딩_0,맥퀸뉴욕 페이크 업  색 쉐딩_1,어퓨  D 컨투어링 키트_0,어퓨  D 컨투어링 키트_1,에뛰드 음영 컨투어 휠_0,에뛰드 음영 컨투어 휠_1,스킨푸드 슈가 믹스 쉐이딩  다이어트 쿠키 _0,스킨푸드 슈가 믹스 쉐이딩  다이어트 쿠키 _1,네이처리퍼블릭 프로 터치 블러셔 팔레트_0,네이처리퍼블릭 프로 터치 블러셔 팔레트_1,클리오 프로 컨투어 팔레트_0,클리오 프로 컨투어 팔레트_1,캔메이크 노즈섀도우 파우더_0,캔메이크 노즈섀도우 파우더_1,웨이크메이크 컬러 스타일러 믹스 치크_0,웨이크메이크 컬러 스타일러 믹스 치크_1,크리니크 치크 팝 온더글로우 트리오 팔레트_0,크리니크 치크 팝 온더글로우 트리오 팔레트_1,베네피트 블러셔 바 블러쉬 바 _0,베네피트 블러셔 바 블러쉬 바 _1,더밤 오토밤 팔레트_0,더밤 오토밤 팔레트_1,톰포드 뷰티 쉐이드 앤 일루미네이트_0,톰포드 뷰티 쉐이드 앤 일루미네이트_1,더샘 에코 소울 컨투어 팔레트_0,더샘 에코 소울 컨투어 팔레트_1,투페이스드 스위트 피치 글로우 피치 인퓨즈드 하이라이팅 팔레트_0,투페이스드 스위트 피치 글로우 피치 인퓨즈드 하이라이팅 팔레트_1,정샘물 아티스트 컨투어 팔레트_0,정샘물 아티스트 컨투어 팔레트_1,베네피트 치크리더스 핑크 스쿼드_0,베네피트 치크리더스 핑크 스쿼드_1,메이크업포에버 프로 스컬프팅 팔레트_0,메이크업포에버 프로 스컬프팅 팔레트_1,포니이펙트 컨투어링 마스터 팔레트_0,포니이펙트 컨투어링 마스터 팔레트_1,베네피트 치크리더스 미니 핑크 스쿼드_0,베네피트 치크리더스 미니 핑크 스쿼드_1,미샤 글로우  컬러 필터 페이스 팔레트_0,미샤 글로우  컬러 필터 페이스 팔레트_1,스틸라 올 오버 쉬머 듀오_0,스틸라 올 오버 쉬머 듀오_1,아르데코 모스트 원티드 컨투어링 팔레트_0,아르데코 모스트 원티드 컨투어링 팔레트_1,나스 플로럴 리덕스 컬렉션 앤젤 프라이드 치크 팔레트_0,나스 플로럴 리덕스 컬렉션 앤젤 프라이드 치크 팔레트_1,KVD 비건뷰티 셰이드   라이트 페이스 컨투어 팔레트_0,KVD 비건뷰티 셰이드   라이트 페이스 컨투어 팔레트_1
10,0.0,0.0,12.03703,95.0,0.0,58.88888,0.0,0.0,6.12244,40.0,0.0,86.26373,0.0,3.44827,38.46153,66.66666,0.0,26.43678,37.5,40.90909,24.13793,18.0851,0.0,0.0,33.01886,22.6415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,21.96969,0.0,14.89361,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,5.09259,55.0,43.75,36.66666,0.0,0.0,13.2653,25.71428,0.0,84.06593,0.0,19.31034,100.0,0.0,4.8387,19.92337,33.75,63.63636,31.03448,21.27659,0.0,0.0,21.69811,16.03773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.78787,0.0,0.0,18.75,0.0,71.42857,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,8.79629,62.5,43.75,44.44444,0.0,0.0,10.20408,45.71428,0.0,75.27472,0.0,15.17241,0.0,88.88888,0.0,30.65134,31.25,54.54545,41.37931,7.4468,0.0,0.0,26.41509,25.47169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,31.0606,0.0,0.0,43.75,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,5.55555,57.5,62.5,42.22222,0.0,0.0,17.34693,28.57142,0.0,64.28571,0.0,15.17241,0.0,0.0,0.0,29.88505,55.0,59.0909,41.37931,14.89361,0.0,0.0,30.18867,17.92452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181,0.0,19.14893,21.875,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,7.4074,52.5,43.75,45.55555,0.0,0.0,6.12244,34.28571,0.0,71.97802,0.0,17.24137,0.0,0.0,6.98924,26.43678,53.75,27.27272,31.03448,20.21276,0.0,0.0,28.30188,18.86792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,8.90052,40.42553,34.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,8.33333,75.0,0.0,57.77777,0.0,0.0,56.12244,25.71428,0.0,75.82417,0.0,6.89655,0.0,0.0,3.2258,23.75478,40.0,45.45454,44.82758,18.0851,0.0,0.0,33.01886,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.93939,10.4712,19.14893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,4.62962,87.5,0.0,54.44444,0.0,0.0,28.57142,42.85714,0.0,69.23076,0.0,20.0,0.0,0.0,9.13978,44.44444,35.0,22.72727,34.48275,17.02127,0.0,0.0,22.6415,39.62264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.39393,15.18324,23.40425,21.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,8.33333,97.5,37.5,30.0,0.0,0.0,58.16326,31.42857,0.0,50.54945,5.51724,8.96551,0.0,0.0,3.2258,38.69731,33.75,40.90909,68.96551,9.57446,0.0,0.0,16.03773,26.41509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,21.96969,11.51832,19.14893,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,7.4074,72.5,0.0,36.66666,0.0,0.0,40.81632,22.85714,0.0,60.43956,3.44827,12.41379,0.0,0.0,0.0,39.08045,61.25,0.0,100.0,8.51063,0.0,100.0,25.47169,20.75471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,11.51832,21.27659,81.25,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,5.09259,67.5,0.0,56.66666,0.0,0.0,26.53061,0.0,0.0,45.05494,19.31034,20.68965,0.0,0.0,3.2258,29.50191,47.5,22.72727,55.17241,14.89361,0.0,83.33333,17.92452,47.16981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.12121,23.5602,10.63829,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,9.25925,80.0,0.0,32.22222,0.0,0.0,17.34693,28.57142,0.0,44.50549,15.17241,20.68965,0.0,0.0,3.2258,30.26819,28.75,0.0,48.27586,11.70212,0.0,0.0,18.86792,26.41509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,37.12121,21.46596,19.14893,28.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,6.48148,55.0,31.25,100.0,0.0,0.0,31.63265,37.14285,0.0,44.50549,15.17241,24.13793,38.46153,66.66666,0.0,26.05363,50.0,0.0,44.82758,13.82978,0.0,0.0,100.0,18.86792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.90909,24.60732,10.63829,34.375,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,23.14814,72.5,0.0,60.0,0.0,0.0,9.18367,74.28571,0.0,48.90109,17.24137,25.51724,0.0,0.0,4.8387,32.95019,33.75,22.72727,20.68965,0.0,0.0,0.0,39.62264,31.13207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.93939,13.089,14.89361,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,18.98148,57.5,0.0,56.66666,0.0,0.0,21.42857,17.14285,0.0,42.85714,6.89655,31.03448,0.0,0.0,3.2258,24.13793,41.25,31.81818,58.62068,5.31914,100.0,0.0,26.41509,9.43396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,12.56544,29.78723,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,15.74074,60.0,0.0,52.22222,0.0,0.0,36.73469,82.85714,0.0,44.50549,20.0,21.37931,38.46153,0.0,3.76344,18.77394,38.75,27.27272,51.72413,10.63829,0.0,0.0,20.75471,24.5283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.75757,28.27225,42.55319,43.75,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,29.16666,37.5,0.0,48.88888,0.0,0.0,36.73469,74.28571,0.0,40.10989,8.96551,100.0,0.0,0.0,8.60215,24.52107,60.0,31.81818,41.37931,11.70212,0.0,0.0,47.16981,26.41509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.18181,29.84293,36.17021,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,22.22222,47.5,50.0,64.44444,0.0,0.0,39.79591,68.57142,1.21506,47.25274,12.41379,42.75862,0.0,0.0,0.0,24.52107,72.5,22.72727,34.48275,14.89361,0.0,0.0,26.41509,29.24528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,15.7068,25.53191,15.625,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,15.74074,55.0,0.0,60.0,0.0,0.0,37.7551,42.85714,1.45808,57.14285,20.68965,51.03448,0.0,0.0,0.0,21.07279,43.75,59.0909,17.24137,23.40425,0.0,0.0,18.86792,20.75471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.18181,30.89005,44.68085,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
