,양키캔들 라벤더_0,양키캔들 라벤더_1,이니스프리 퍼퓸드 디퓨저        작약_0,이니스프리 퍼퓸드 디퓨저        작약_1,샤프란 꽃담초 섬유탈취제   연꽃_0,샤프란 꽃담초 섬유탈취제   연꽃_1,러비더비 섬유향수 로제_0,러비더비 섬유향수 로제_1,양키캔들 비치워크_0,양키캔들 비치워크_1,샤프란 섬유향수 그레이프향_0,샤프란 섬유향수 그레이프향_1,양키캔들 미드나잇 쟈스민_0,양키캔들 미드나잇 쟈스민_1,조말론 잉글리쉬 페어 앤 프리지아 디퓨저_0,조말론 잉글리쉬 페어 앤 프리지아 디퓨저_1,이니스프리 퍼퓸드 디퓨저        삼나무_0,이니스프리 퍼퓸드 디퓨저        삼나무_1,이니스프리 퍼퓸드 디퓨저        한란_0,이니스프리 퍼퓸드 디퓨저        한란_1,포레오 루나 미니  _0,포레오 루나 미니  _1,클라리소닉 미아 _0,클라리소닉 미아 _1,메이크온 클렌징 인핸서_0,메이크온 클렌징 인핸서_1,클라리소닉 럭스 캐시미어 페이셜 브러쉬_0,클라리소닉 럭스 캐시미어 페이셜 브러쉬_1,클라리소닉 스마트 프로파일_0,클라리소닉 스마트 프로파일_1,프라엘 더마 LED 마스크 BWJ _0,프라엘 더마 LED 마스크 BWJ _1,메르비 피부관리기_0,메르비 피부관리기_1,뉴스킨 에이지락 루미스파_0,뉴스킨 에이지락 루미스파_1,클라리소닉 딥 포어 브러시 헤드_0,클라리소닉 딥 포어 브러시 헤드_1,클렌슈어 갈바닉 미세진동 마사지기_0,클렌슈어 갈바닉 미세진동 마사지기_1,프라엘 갈바닉 이온 부스터_0,프라엘 갈바닉 이온 부스터_1,필립스 루메아 에센셜 IPL 제모기_0,필립스 루메아 에센셜 IPL 제모기_1,누페이스 울트라 리프팅 트리니티_0,누페이스 울트라 리프팅 트리니티_1,클렌슈어 화산석 미세모 회전 클렌징기_0,클렌슈어 화산석 미세모 회전 클렌징기_1,클라리소닉 브라이트 소닉 브러시 헤드_0,클라리소닉 브라이트 소닉 브러시 헤드_1,실큰 플래시앤고 프리덤_0,실큰 플래시앤고 프리덤_1,프라엘 초음파 클렌저_0,프라엘 초음파 클렌저_1,바나브 커버앤클린핏_0,바나브 커버앤클린핏_1,에이뷰티 에그디바이스 _0,에이뷰티 에그디바이스 _1,글램팜 플랫형 GP   _0,글램팜 플랫형 GP   _1,필립스 헤어 드라이어 HP     _0,필립스 헤어 드라이어 HP     _1,다이슨 슈퍼소닉 헤어 드라이어_0,다이슨 슈퍼소닉 헤어 드라이어_1,JMW  M    A  전문가용 헤어드라이어_0,JMW  M    A  전문가용 헤어드라이어_1,보다나 글램웨이브 봉고데기   mm_0,보다나 글램웨이브 봉고데기   mm_1,JMW MA   A  토네이도 드라이기 _0,JMW MA   A  토네이도 드라이기 _1,테팔 드라이기 리스펙트 무빙에어 HV    KO_0,테팔 드라이기 리스펙트 무빙에어 HV    KO_1,보다나 소프트바 판고데기_0,보다나 소프트바 판고데기_1,CKI 미니고데기_0,CKI 미니고데기_1
41,53.84615,82.14285,0.0,0.0,0.0,0.0,47.27272,52.38095,100.0,100.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,40.95744,36.70212,40.54054,27.27272,8.77192,54.28571,0.0,0.0,53.00353,61.91709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30946,0.0,37.00361,54.375,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.60288,26.71232,27.27272
42,64.10256,75.0,0.0,0.0,0.0,0.0,49.0909,47.61904,55.55555,64.375,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,36.70212,37.23404,89.18918,54.54545,14.03508,0.0,0.0,0.0,48.76325,89.11917,0.0,0.0,0.0,52.63157,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84757,14.03508,59.20577,50.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,36.10108,46.57534,24.24242
43,71.79487,64.28571,0.0,0.0,0.0,0.0,49.0909,52.38095,56.94444,60.625,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,37.23404,53.7234,59.45945,72.72727,0.0,0.0,0.0,0.0,39.57597,84.97409,0.0,0.0,0.0,0.0,31.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34872,0.0,42.59927,78.125,0.0,57.89473,0.0,0.0,0.0,0.0,0.0,10.34482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.30769,36.8231,100.0,19.69696
44,53.84615,67.85714,0.0,0.0,0.0,0.0,49.0909,47.61904,44.44444,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.7234,54.25531,62.16216,0.0,0.0,0.0,0.0,0.0,18.72791,70.46632,0.0,0.0,0.0,0.0,0.0,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.42956,10.52631,52.88808,76.25,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7148,36.9863,28.78787
45,61.53846,21.42857,0.0,0.0,0.0,0.0,29.0909,45.23809,37.5,61.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25531,67.02127,64.86486,0.0,26.31578,0.0,0.0,0.0,15.5477,88.60103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.62586,0.0,54.69314,62.5,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,15.51724,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.85198,30.13698,34.0909
46,56.41025,32.14285,0.0,0.0,0.0,0.0,32.72727,66.66666,47.22222,63.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.02127,37.23404,72.97297,45.45454,12.2807,14.28571,0.0,0.0,27.56183,100.0,0.0,0.0,0.0,0.0,40.90909,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46651,0.0,40.2527,63.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.23826,25.34246,34.84848
47,61.53846,67.85714,0.0,0.0,0.0,0.0,38.18181,57.14285,51.38888,70.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23404,32.97872,75.67567,0.0,8.77192,31.42857,0.0,0.0,33.92226,90.93264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81293,0.0,51.80505,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.29241,30.13698,20.45454
48,46.15384,85.71428,0.0,0.0,0.0,0.0,49.0909,54.7619,50.0,62.5,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,32.97872,40.95744,48.64864,0.0,10.52631,14.28571,0.0,0.0,38.16254,85.23316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.05882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.31177,17.54385,62.63537,26.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.01083,22.60273,32.57575
49,35.89743,78.57142,0.0,0.0,0.0,0.0,29.0909,69.04761,37.5,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.95744,32.97872,100.0,31.81818,24.5614,14.28571,0.0,0.0,34.98233,86.52849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96535,0.0,52.70758,27.5,0.0,73.68421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.84476,48.63013,18.18181
50,28.20512,60.71428,0.0,0.0,0.0,0.0,43.63636,71.42857,33.33333,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97872,45.74468,59.45945,27.27272,0.0,17.14285,0.0,0.0,36.39575,74.35233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29.41176,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,4.73441,0.0,40.97472,38.75,0.0,57.89473,0.0,0.0,0.0,0.0,0.0,4.5977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.06859,28.76712,23.48484
