,뭄 제모젤 클래식_0,뭄 제모젤 클래식_1,질레트 비너스 스파 면도기_0,질레트 비너스 스파 면도기_1,카이 바디 면도기_0,카이 바디 면도기_1,질레트 비너스 앤 올레이 면도기_0,질레트 비너스 앤 올레이 면도기_1,왁스앤왁싱 전자렌지용 왁스_0,왁스앤왁싱 전자렌지용 왁스_1,카이 퓨어 코마치 여성 면도기_0,카이 퓨어 코마치 여성 면도기_1,질레트 비너스 임브레이스 스냅 면도기_0,질레트 비너스 임브레이스 스냅 면도기_1,지지 브라질리안 비키니 왁스_0,지지 브라질리안 비키니 왁스_1,Nad's내추럴 헤어 리무버 젤_0,Nad's내추럴 헤어 리무버 젤_1,노브랜드  중날 휴대용 면도기_0,노브랜드  중날 휴대용 면도기_1,라보에이치 프로바이오틱스 탈모증상완화 샴푸  두피강화 _0,라보에이치 프로바이오틱스 탈모증상완화 샴푸  두피강화 _1,세바메드 안티 댄드러프 샴푸_0,세바메드 안티 댄드러프 샴푸_1,아모스프로페셔널 녹차실감 샴푸  지성용 _0,아모스프로페셔널 녹차실감 샴푸  지성용 _1,아모스프로페셔널 녹차실감 샴푸  중건성 _0,아모스프로페셔널 녹차실감 샴푸  중건성 _1,암웨이 새티니크 글로시 리페어 샴푸_0,암웨이 새티니크 글로시 리페어 샴푸_1,존프리다 프리즈 이즈 미라큘러스 리커버리 샴푸_0,존프리다 프리즈 이즈 미라큘러스 리커버리 샴푸_1,수아담 클리닉 샴푸_0,수아담 클리닉 샴푸_1,닥터포헤어 씨솔트 스케일러_0,닥터포헤어 씨솔트 스케일러_1,러쉬 씨닉_0,러쉬 씨닉_1,닥터포헤어 피토테라피 샴푸_0,닥터포헤어 피토테라피 샴푸_1,러쉬 빅_0,러쉬 빅_1,암웨이 새티니크 스무드 모이스처 샴푸_0,암웨이 새티니크 스무드 모이스처 샴푸_1,하이앙포레 프리미엄 샴푸_0,하이앙포레 프리미엄 샴푸_1,아모스프로페셔널 칼라포스 프로텍티브 샴푸_0,아모스프로페셔널 칼라포스 프로텍티브 샴푸_1,비욘드 프로페셔널 디펜스 샴푸_0,비욘드 프로페셔널 디펜스 샴푸_1,더프트앤도프트 핑크브리즈 퍼퓸드 헤어 샴푸_0,더프트앤도프트 핑크브리즈 퍼퓸드 헤어 샴푸_1,하호니코 알베르 헤어 샴푸_0,하호니코 알베르 헤어 샴푸_1,로마 너리싱 샴푸_0,로마 너리싱 샴푸_1,러쉬 리햅_0,러쉬 리햅_1,록시땅 NEW 아로마 리페어 샴푸_0,록시땅 NEW 아로마 리페어 샴푸_1,존프리다 프리즈 이즈 미라큘러스 리커버리 컨디셔너_0,존프리다 프리즈 이즈 미라큘러스 리커버리 컨디셔너_1,팬틴 컨디셔닝 린스 극손상 케어_0,팬틴 컨디셔닝 린스 극손상 케어_1,존프리다 풀리페어 하이드레이트 레스큐 딥 컨디셔너_0,존프리다 풀리페어 하이드레이트 레스큐 딥 컨디셔너_1,비욘드 프로페셔널 디펜스 컨디셔너_0,비욘드 프로페셔널 디펜스 컨디셔너_1,엘라스틴 실크리페어 리커버리 컨디셔너_0,엘라스틴 실크리페어 리커버리 컨디셔너_1,엘라스틴 실크 리페어 컨디셔너  시그니처 _0,엘라스틴 실크 리페어 컨디셔너  시그니처 _1,오가니스트 내추럴 모로코 아르간 오일 컨디셔너_0,오가니스트 내추럴 모로코 아르간 오일 컨디셔너_1,로레알 파리 토탈 리페어  컨디셔너_0,로레알 파리 토탈 리페어  컨디셔너_1,미쟝센 안티에이징 린스_0,미쟝센 안티에이징 린스_1,미쟝센 퍼펙트 리페어 린스_0,미쟝센 퍼펙트 리페어 린스_1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.85714,23.80952,29.62962,7.29261,72.8013,9.39597,42.95302,0.0,0.0,25.0,11.29032,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,44.59459,72.0,24.29501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,51.85185,5.56061,74.91856,10.73825,38.25503,0.0,0.0,38.88888,11.29032,0.0,0.0,38.09523,0.0,0.0,0.0,0.0,0.0,0.0,29.72972,53.6,22.55965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0,6.28988,71.17263,12.75167,43.62416,0.0,0.0,63.88888,9.67741,0.0,0.0,0.0,15.625,0.0,0.0,0.0,0.0,0.0,22.97297,74.4,21.69197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8421,17.14285,42.85714,44.44444,7.29261,72.63843,10.73825,32.21476,0.0,0.0,52.77777,22.58064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.24324,64.0,14.75054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.10526,34.28571,23.80952,18.51851,10.39197,51.79153,14.7651,32.8859,0.0,0.0,66.66666,11.29032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.37837,84.8,18.00433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.94736,48.57142,33.33333,25.92592,24.88605,62.37785,19.46308,30.20134,0.0,0.0,27.77777,12.90322,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,24.32432,62.4,19.52277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.42105,14.28571,28.57142,0.0,15.4968,78.99022,12.75167,36.91275,0.0,0.0,50.0,12.90322,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.18918,58.4,20.82429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.71428,42.85714,37.03703,14.58523,74.91856,24.16107,53.02013,0.0,0.0,36.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32.43243,72.0,22.55965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,17.14285,0.0,48.14814,9.93618,73.12703,27.51677,39.59731,0.0,0.0,52.77777,0.0,0.0,0.0,23.80952,15.625,0.0,0.0,0.0,0.0,62.22222,40.54054,58.4,18.65509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63157,25.71428,0.0,59.25925,10.93892,67.10097,100.0,32.21476,0.0,0.0,50.0,9.67741,0.0,0.0,76.19047,18.75,0.0,0.0,0.0,0.0,13.33333,33.78378,59.2,11.49674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.89473,0.0,28.57142,40.74074,8.47766,72.8013,48.99328,32.8859,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,22.22222,45.94594,68.0,14.96746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.71428,0.0,37.03703,23.79216,68.24104,38.92617,37.58389,0.0,0.0,58.33333,20.96774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222,43.24324,83.2,19.52277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.71428,0.0,29.62962,45.39653,56.67752,33.55704,44.2953,0.0,0.0,72.22222,100.0,0.0,0.0,28.57142,0.0,0.0,0.0,0.0,0.0,57.77777,52.7027,74.4,19.95661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.80952,59.25925,56.8824,59.93485,20.13422,36.91275,0.0,0.0,30.55555,33.87096,0.0,0.0,38.09523,0.0,0.0,0.0,0.0,0.0,82.22222,54.05405,77.6,19.95661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.94736,54.28571,0.0,22.22222,33.63719,65.79804,34.89932,46.30872,0.0,0.0,47.22222,37.09677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.22222,37.83783,72.8,18.43817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,20.0,0.0,22.22222,68.27711,67.9153,33.55704,32.8859,0.0,0.0,41.66666,35.48387,0.0,0.0,80.95238,100.0,0.0,0.0,0.0,0.0,13.33333,47.29729,68.0,15.18438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,45.71428,0.0,18.51851,34.09298,67.9153,27.51677,31.54362,0.0,0.0,44.44444,53.2258,0.0,0.0,66.66666,15.625,0.0,0.0,0.0,0.0,13.33333,52.7027,57.6,14.53362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.10526,0.0,0.0,44.44444,24.15679,54.88599,44.96644,33.55704,0.0,0.0,61.11111,41.93548,0.0,0.0,100.0,25.0,0.0,0.0,0.0,0.0,37.77777,44.59459,52.0,12.79826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
