,그린핑거 촉촉한 자연보습 베이비로션_0,그린핑거 촉촉한 자연보습 베이비로션_1,존슨즈베이비 수딩내추럴 너리싱 로션_0,존슨즈베이비 수딩내추럴 너리싱 로션_1,존슨즈베이비 베드 타임 로션_0,존슨즈베이비 베드 타임 로션_1,아토팜 MLE 크림_0,아토팜 MLE 크림_1,존슨즈베이비 울트라 케어 크림_0,존슨즈베이비 울트라 케어 크림_1,존슨즈베이비 파우더_0,존슨즈베이비 파우더_1,존슨즈베이비 베드타임 오일_0,존슨즈베이비 베드타임 오일_1,존슨즈베이비 레귤러 오일_0,존슨즈베이비 레귤러 오일_1,존슨즈베이비 화이트 후레쉬 로션_0,존슨즈베이비 화이트 후레쉬 로션_1,얼스마마 바텀 밤_0,얼스마마 바텀 밤_1,존슨즈베이비 울트라 케어 로션_0,존슨즈베이비 울트라 케어 로션_1,궁중비책 베이비 로션_0,궁중비책 베이비 로션_1,그린핑거 촉촉한 자연보습 울트라크림_0,그린핑거 촉촉한 자연보습 울트라크림_1,존슨즈베이비 베드타임 파우더_0,존슨즈베이비 베드타임 파우더_1,보타니컬테라피 베이비 로션_0,보타니컬테라피 베이비 로션_1,아토팜 크림 마사지 오일_0,아토팜 크림 마사지 오일_1,그린핑거 힘센 보습 울트라 로션_0,그린핑거 힘센 보습 울트라 로션_1,프리메라 베이비 퓨어 로션_0,프리메라 베이비 퓨어 로션_1,존슨즈베이비 카모마일 오일_0,존슨즈베이비 카모마일 오일_1,존슨즈베이비 수딩내추럴 수드 앤드 프로텍트 밤_0,존슨즈베이비 수딩내추럴 수드 앤드 프로텍트 밤_1,존슨즈베이비 탑투토 워시_0,존슨즈베이비 탑투토 워시_1,아토팜 탑투토 워시_0,아토팜 탑투토 워시_1,얼스마마 앤젤베이비 바디워시앤삼푸_0,얼스마마 앤젤베이비 바디워시앤삼푸_1,궁중비책 베이비 샴푸 바스_0,궁중비책 베이비 샴푸 바스_1,그린핑거 촉촉한 자연보습 베이비워시_0,그린핑거 촉촉한 자연보습 베이비워시_1,존슨즈베이비 베드타임 바스_0,존슨즈베이비 베드타임 바스_1,캘리포니아베이비 카렌듈라 네츄럴 샴푸 앤 바디워시_0,캘리포니아베이비 카렌듈라 네츄럴 샴푸 앤 바디워시_1,무스텔라 젠틀 클렌징 젤_0,무스텔라 젠틀 클렌징 젤_1,누크 클래식 바스앤샤워 밀크_0,누크 클래식 바스앤샤워 밀크_1,누들앤부 NB워시_0,누들앤부 NB워시_1,그린핑거 마이키즈 워시_0,그린핑거 마이키즈 워시_1,그린핑거 마이키즈 샴푸_0,그린핑거 마이키즈 샴푸_1,아토앤오투 약산성 베이비 바스 앤 샴푸_0,아토앤오투 약산성 베이비 바스 앤 샴푸_1,세타필 베이비 샴푸_0,세타필 베이비 샴푸_1,아비노베이비 워시 샴푸_0,아비노베이비 워시 샴푸_1,호호에미 베이비 헤어 바디 클렌저_0,호호에미 베이비 헤어 바디 클렌저_1,유리아쥬 베베 끄렘 라방떼_0,유리아쥬 베베 끄렘 라방떼_1,아토팜 페이셜 폼 워시_0,아토팜 페이셜 폼 워시_1,비욘드 키즈에코 바디 워시_0,비욘드 키즈에코 바디 워시_1,보타니컬테라피 베이비 워시_0,보타니컬테라피 베이비 워시_1
51,0.0,0.0,0.0,0.0,0.0,0.0,73.36956,11.42857,66.07142,55.35714,89.68609,16.01786,0.0,100.0,0.0,0.0,0.0,0.0,56.66666,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,39.39393,50.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,12.0,18.19887,20.63789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666
52,0.0,0.0,0.0,0.0,0.0,0.0,62.77173,12.0,39.28571,42.85714,93.72197,17.61327,0.0,50.0,0.0,0.0,0.0,0.0,33.33333,57.14285,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.30303,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,28.3302,20.63789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5862,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,45.45454,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,72.72727,0.0,44.02173,9.33333,55.35714,17.85714,90.13452,18.18761,0.0,25.0,0.0,0.0,0.0,0.0,56.66666,69.04761,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,37.87878,65.6,0.0,12.82051,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,12.0,29.26829,15.57223,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,48.27586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.94117,0.0,0.0,0.0,50.0
54,0.0,0.0,0.0,0.0,0.0,0.0,60.59782,19.04761,42.85714,35.71428,91.92825,20.29355,0.0,0.0,0.0,0.0,0.0,0.0,48.33333,59.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.78787,27.2,58.33333,20.51282,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.20262,14.07129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.93103,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,45.45454,31.81818,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,50.0
55,0.0,0.0,0.0,62.5,0.0,0.0,71.19565,12.95238,17.85714,37.5,77.57847,17.61327,30.0,0.0,0.0,0.0,0.0,0.0,46.66666,40.47619,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.78787,16.8,0.0,12.82051,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,14.0,23.63977,18.5741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.82758,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,61.90476,29.41176,0.0,0.0,0.0,41.66666
56,0.0,0.0,0.0,0.0,0.0,0.0,67.66304,9.14285,35.71428,17.85714,65.47085,15.69878,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,59.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.21212,13.6,41.66666,12.82051,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,26.0,21.95121,21.01313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.27586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,62.5,12.38095,37.5,32.14285,78.92376,13.52903,0.0,0.0,0.0,0.0,0.0,0.0,56.66666,88.09523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181,24.0,41.66666,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,0.0,45.45454,36.0,13.1332,14.07129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.62068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.90476,0.0,0.0,0.0,63.63636,0.0
58,0.0,0.0,100.0,0.0,0.0,38.46153,75.27173,20.0,17.85714,28.57142,60.08968,12.06126,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,76.19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,21.6,0.0,12.82051,0.0,0.0,0.0,61.53846,0.0,0.0,0.0,0.0,0.0,28.0,19.51219,15.57223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,54.54545,0.0,45.38043,20.38095,32.14285,16.07142,52.01793,13.0185,0.0,30.0,0.0,0.0,0.0,0.0,38.33333,59.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.69696,10.4,0.0,28.20512,0.0,0.0,55.55555,46.15384,0.0,0.0,0.0,0.0,0.0,26.0,25.14071,10.31894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.13793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0,0.0,0.0,0.0,50.0
60,0.0,0.0,0.0,0.0,0.0,0.0,45.92391,22.28571,28.57142,25.0,52.01793,12.12507,0.0,25.0,0.0,0.0,0.0,0.0,65.0,78.57142,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,12.82051,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,0.0,45.45454,18.0,37.89868,6.00375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,100.0
61,1512799,2275,24663,476574,12559,1474,2772,376466,24663,11074,386,7622,2054,581,2054,24663,24663,12559,56564,25436,24663,11074,4873,109772,292,2275,12559,386,62,49141,7176,2516,292,265,109772,256370,24663,11074,38202,12559,10203,24663,564,7176,1289,441142,4873,109772,1512799,2275,12559,24663,1289,441142,13,13,836,47846,89,25972,846,4092,93568454,846,1289,7176,109772,256370,1289,441142,109772,441142,64251,308971,2250251,18,441142,476574,109772,164127
