,테라브레스 오랄린스 아이시 민트_0,테라브레스 오랄린스 아이시 민트_1,애터미 치약 플러스_0,애터미 치약 플러스_1,페리오   cm 스프레이_0,페리오   cm 스프레이_1,아조나 치약_0,아조나 치약_1,닥터폴스 덴탈튜브 라임만다린 치약_0,닥터폴스 덴탈튜브 라임만다린 치약_1,닥터폴스 덴탈튜브 패츌리머스크 치약_0,닥터폴스 덴탈튜브 패츌리머스크 치약_1,페리오 히말라야 핑크솔트 담은치약  아이스 카밍 민트 _0,페리오 히말라야 핑크솔트 담은치약  아이스 카밍 민트 _1,베러데이 칸디데 치약_0,베러데이 칸디데 치약_1,2080동의청은차고은진 치약_0,2080동의청은차고은진 치약_1,애터미 칫솔_0,애터미 칫솔_1,오렌즈 스페니쉬 리얼그레이_0,오렌즈 스페니쉬 리얼그레이_1,오렌즈 스페니쉬 리얼올리브_0,오렌즈 스페니쉬 리얼올리브_1,오렌즈 시크리스  콘 내츄럴 그레이_0,오렌즈 시크리스  콘 내츄럴 그레이_1,오렌즈 시크리스  콘 코랄 그레이_0,오렌즈 시크리스  콘 코랄 그레이_1,오렌즈 크리스탈  콘 그레이_0,오렌즈 크리스탈  콘 그레이_1,오렌즈 시크리스  콘 내츄럴 브라운_0,오렌즈 시크리스  콘 내츄럴 브라운_1,오렌즈 안나수이 돌리걸 틴트 브라운_0,오렌즈 안나수이 돌리걸 틴트 브라운_1,오렌즈 스페니쉬 써클그레이_0,오렌즈 스페니쉬 써클그레이_1,오렌즈 츄잉  콘 그레이_0,오렌즈 츄잉  콘 그레이_1,오렌즈 아이스 골드_0,오렌즈 아이스 골드_1,오렌즈 샤이닝퓨어 초코_0,오렌즈 샤이닝퓨어 초코_1,오렌즈 라벤더 골드_0,오렌즈 라벤더 골드_1,오렌즈 미스티 내츄럴초코_0,오렌즈 미스티 내츄럴초코_1,오렌즈 스페니쉬 써클브라운_0,오렌즈 스페니쉬 써클브라운_1,오렌즈 비비링 브라운_0,오렌즈 비비링 브라운_1,오렌즈 오션골드_0,오렌즈 오션골드_1,렌즈미 아이블랑 틴트 그레이_0,렌즈미 아이블랑 틴트 그레이_1,렌즈미 워터앰플 쵸코_0,렌즈미 워터앰플 쵸코_1,오렌즈 썸데이 그레이_0,오렌즈 썸데이 그레이_1,오렌즈 카리브  콘 그레이_0,오렌즈 카리브  콘 그레이_1,알콘 데일리스 토탈원 워터렌즈_0,알콘 데일리스 토탈원 워터렌즈_1,쿠퍼비전 바이오피니티_0,쿠퍼비전 바이오피니티_1,쿠퍼비전 클래리티 원데이_0,쿠퍼비전 클래리티 원데이_1,아큐브 오아시스 난시용_0,아큐브 오아시스 난시용_1,알콘 에어옵틱스 나이트 앤 데이 아쿠아_0,알콘 에어옵틱스 나이트 앤 데이 아쿠아_1,아큐브 오아시스 원데이 난시용_0,아큐브 오아시스 원데이 난시용_1,아큐브 원데이 모이스트_0,아큐브 원데이 모이스트_1,아큐브 비타_0,아큐브 비타_1,아큐브 오아시스_0,아큐브 오아시스_1,아큐브 원데이 모이스트 난시용_0,아큐브 원데이 모이스트 난시용_1
11,0.0,0.0,0.0,0.0,0.0,0.0,66.95331,75.18573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.02958,50.17482,74.5098,0.0,20.5438,89.87341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.20146,0.0,0.0,0.0,64.57142,32.46073,44.61538,59.29203,43.0,70.4,0.0,10.61946,71.92622,0.0,78.85044,59.06351,68.8172,0.0,0.0,0.0,0.0,0.0,72.54901,55.31914,0.0,0.0,0.0,0.0,47.64397,78.28162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,86.36363,62.5,2.85868,28.03738,74.5283,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,81.32678,76.96879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.71005,50.6993,73.8562,0.0,13.89728,67.0886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,55.31135,0.0,0.0,0.0,100.0,35.07853,47.6923,86.72566,57.66666,59.2,0.0,8.84955,58.40163,0.0,75.33482,63.65322,74.19354,0.0,0.0,0.0,0.0,0.0,73.8562,58.58156,0.0,0.0,0.0,0.0,70.15706,73.50835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,62.83783,3.20028,26.72897,70.44025,0.0,0.0
13,0.0,0.0,46.15384,0.0,0.0,0.0,79.23832,70.4309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.34319,46.15384,60.13071,0.0,18.73111,60.75949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826,68.49816,0.0,0.0,0.0,56.0,49.21465,38.46153,67.25663,59.0,88.8,0.0,10.61946,67.21311,0.0,77.39955,55.07649,55.91397,0.0,0.0,0.0,0.0,0.0,51.63398,53.9007,0.0,0.0,0.0,0.0,48.16753,81.62291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,56.81818,66.21621,3.39805,29.81308,100.0,0.0,0.0
14,0.0,0.0,38.46153,0.0,0.0,0.0,75.67567,80.83209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,39.86013,71.24183,0.0,31.11782,48.73417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.26086,50.18315,2.53164,0.0,0.0,69.14285,43.97905,29.23076,46.01769,47.33333,100.0,0.0,17.69911,59.42622,3.18725,74.27455,55.72554,70.96774,0.0,0.0,0.0,0.0,0.0,54.90196,50.21276,0.0,0.0,0.0,0.0,84.29319,88.78281,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6875,93.18181,62.5,4.69255,27.85046,84.59119,0.0,0.0
15,0.0,0.0,61.53846,0.0,0.0,0.0,78.13267,72.9569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.02958,52.7972,50.98039,0.0,26.88821,48.10126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.26086,52.01465,11.3924,0.0,0.0,44.0,32.98429,63.07692,51.32743,47.33333,77.6,0.0,6.19469,53.68852,21.91235,83.70535,60.45433,87.09677,0.0,0.0,0.0,0.0,0.0,56.20915,48.65248,0.0,0.0,0.0,0.0,68.06282,84.9642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6875,77.27272,58.44594,4.27903,24.39252,69.81132,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,75.79852,77.11738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59763,72.02797,41.17647,0.0,24.62235,52.53164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.36996,33.75527,0.0,0.0,41.71428,47.12041,32.30769,68.14159,44.66666,70.4,0.0,16.81415,58.60655,28.28685,88.22544,56.56003,55.91397,0.0,1.55902,0.0,0.0,0.0,54.90196,50.63829,0.0,0.0,0.0,0.0,63.35078,77.32696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,63.63636,41.55405,4.02732,22.61682,74.5283,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,57.1253,61.66419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.81065,64.16083,50.98039,0.0,25.83081,48.73417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,56.04395,19.40928,0.0,0.0,42.85714,29.84293,55.38461,100.0,40.66666,71.2,0.0,14.15929,69.05737,26.69322,62.44419,52.66573,64.51612,0.0,3.56347,0.0,0.0,0.0,37.2549,58.15602,0.0,0.0,0.0,0.0,70.15706,75.89498,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,31.25,79.54545,51.35135,6.47249,29.71962,75.78616,0.0,0.0
18,0.0,0.0,0.0,45.45454,0.0,0.0,62.77641,72.51114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.89349,63.81118,56.86274,0.0,29.90936,52.53164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,24.05063,0.0,0.0,26.28571,25.65445,61.53846,43.36283,42.66666,71.2,0.0,23.8938,60.45081,30.67729,69.41964,53.73203,72.04301,0.0,1.55902,0.0,0.0,0.0,50.98039,63.54609,0.0,0.0,0.0,0.0,74.34554,97.13603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0625,79.54545,57.77027,3.77562,28.03738,69.81132,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,80.34398,83.06092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.4852,67.13286,44.44444,0.0,27.19033,57.59493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.41025,29.53586,0.0,0.0,71.42857,44.50261,44.61538,53.09734,45.0,81.59999,0.0,34.51327,63.93442,29.48207,65.06696,67.9184,68.8172,8.92388,19.37639,0.0,0.0,0.0,69.28104,62.12765,0.0,0.0,0.0,0.0,63.35078,99.52267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,79.54545,56.41891,3.05645,25.9813,72.01257,0.0,0.0
20,0.0,0.0,46.15384,54.54545,0.0,0.0,77.02702,90.63893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.93491,51.04895,37.2549,0.0,21.45015,72.78481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.64835,15.18987,0.0,0.0,59.42857,45.02617,64.61538,46.90265,54.33333,60.8,0.0,22.12389,58.40163,28.68525,76.84151,66.34214,59.13978,1.9685,14.47661,0.0,0.0,0.0,56.20915,56.31205,0.0,0.0,0.0,0.0,64.92146,100.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.625,70.45454,60.13513,4.92628,29.81308,81.13207,0.0,0.0
