,올리브영 케어플러스 상처커버 스팟패치_0,올리브영 케어플러스 상처커버 스팟패치_1,이지덤뷰티 이지덤 뷰티_0,이지덤뷰티 이지덤 뷰티_1,더마리프트 프레쉬덤 안티 블레미쉬 패치_0,더마리프트 프레쉬덤 안티 블레미쉬 패치_1,엘라밴드 하이드로 도트_0,엘라밴드 하이드로 도트_1,3M 넥스케어™ 블레미쉬 패치 케어_0,3M 넥스케어™ 블레미쉬 패치 케어_1,올리브영 케어플러스 잘라쓰는 사각패치_0,올리브영 케어플러스 잘라쓰는 사각패치_1,해서린 스팟 케어 패치 키트_0,해서린 스팟 케어 패치 키트_1,다이소 위드덤 스킨커버 프렌드 실속형_0,다이소 위드덤 스킨커버 프렌드 실속형_1,시드물 닥터트럽 트러블 클리어 패치_0,시드물 닥터트럽 트러블 클리어 패치_1,코스알엑스 에이씨 컬렉션 아크네 패치_0,코스알엑스 에이씨 컬렉션 아크네 패치_1,하이맘 하이맘 밴드_0,하이맘 하이맘 밴드_1,아크로패스 트러블 큐어_0,아크로패스 트러블 큐어_1,코스알엑스 아크네 핌플 마스터 패치_0,코스알엑스 아크네 핌플 마스터 패치_1,아리따움 티트리 솔루션 스팟 클리어 패치_0,아리따움 티트리 솔루션 스팟 클리어 패치_1,이지피지 이지케어 스팟패치_0,이지피지 이지케어 스팟패치_1,미샤 스피디 솔루션  안티 트러블 패치 _0,미샤 스피디 솔루션  안티 트러블 패치 _1,닥터원더 원더패치_0,닥터원더 원더패치_1,닥터벨머 클래리파잉 스팟 패치 키트_0,닥터벨머 클래리파잉 스팟 패치 키트_1,신신제약매디큐어 하이드 밴드_0,신신제약매디큐어 하이드 밴드_1,VT COSMETICS 스팟 패치_0,VT COSMETICS 스팟 패치_1,휴족시간지압자극 쿨링시트_0,휴족시간지압자극 쿨링시트_1,올리브영 휴족휴면_0,올리브영 휴족휴면_1,휴족시간쿨링시트_0,휴족시간쿨링시트_1,아시리라 수액시트_0,아시리라 수액시트_1,티피오 종아리 알패치_0,티피오 종아리 알패치_1,멕리듬 스팀 아이마스크_0,멕리듬 스팀 아이마스크_1,메디테라피 더마 릴렉스 힐링 패치_0,메디테라피 더마 릴렉스 힐링 패치_1,일리윤 컴포트 레스트 아이워머_0,일리윤 컴포트 레스트 아이워머_1,스팀베이스 데일리 아이마스크_0,스팀베이스 데일리 아이마스크_1,하루온아이워머_0,하루온아이워머_1,슬로우랩 꿀잠안대_0,슬로우랩 꿀잠안대_1,일동제약 휴식시간_0,일동제약 휴식시간_1,씨엔에스글로벌 베어 스팀 아이마스크_0,씨엔에스글로벌 베어 스팀 아이마스크_1,누뉴 수면 온열안대_0,누뉴 수면 온열안대_1,아이러버쿨링풋_0,아이러버쿨링풋_1,아이스펌킨 호박 종아리패치_0,아이스펌킨 호박 종아리패치_1,에뛰드 히팅 아이 마스크_0,에뛰드 히팅 아이 마스크_1,파머메이커 데이리어 링거 오리발 팩_0,파머메이커 데이리어 링거 오리발 팩_1,어퓨 스팀 아이 마스크_0,어퓨 스팀 아이 마스크_1,메디힐리 아이온팩_0,메디힐리 아이온팩_1
10,0.0,0.0,0.0,0.0,0.0,0.0,58.02469,81.37254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.56521,40.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.76946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.27586,20.83333,76.59574,38.36589,56.29139,0.0,0.0,72.34042,41.22137,0.0,77.27272,0.0,0.0,0.0,58.49802,3.83275,12.12121,0.0,47.36842,11.32075,0.0,0.0,0.0,0.0,0.0,37.77777,46.42857,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,100.0,19.51219
11,0.0,0.0,0.0,0.0,0.0,0.0,50.61728,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5163,37.62376,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.14054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.03448,0.0,55.31914,47.95737,51.65562,0.0,0.0,85.10638,32.82442,0.0,24.24242,0.0,0.0,40.0,54.15019,5.92334,31.81818,27.77777,63.15789,16.98113,0.0,0.0,0.0,0.0,0.0,37.77777,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.58536
12,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,88.23529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.93478,46.53465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.31951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37931,45.83333,76.59574,41.91829,43.7086,0.0,0.0,75.0,34.35114,0.0,36.36363,0.0,0.0,31.11111,47.03557,6.27177,18.18181,0.0,42.10526,11.32075,0.0,0.0,0.0,0.0,0.0,53.33333,39.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,63.41463
13,0.0,0.0,0.0,0.0,0.0,0.0,48.14814,69.60784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.52717,47.52475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.94843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48275,100.0,25.53191,35.34635,54.30463,0.0,0.0,62.76595,41.98473,53.33333,72.22222,0.0,0.0,22.22222,52.56916,2.43902,40.90909,0.0,28.94736,33.96226,0.0,0.0,0.0,0.0,0.0,33.33333,21.42857,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,34.14634
14,0.0,0.0,0.0,0.0,0.0,0.0,79.01234,64.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.29347,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.20626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.10344,54.16666,36.17021,36.76731,61.5894,0.0,0.0,61.70212,42.74809,0.0,64.64646,0.0,0.0,64.44444,59.28853,4.87804,50.0,0.0,42.10526,24.5283,0.0,0.0,0.0,0.0,0.0,26.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.19512
15,0.0,0.0,0.0,0.0,0.0,0.0,41.9753,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.55434,52.97029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.95955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75862,0.0,59.57446,42.80639,74.17218,0.0,0.0,52.65957,43.51145,0.0,35.35353,0.0,0.0,60.0,77.07509,3.83275,27.27272,0.0,23.68421,9.43396,0.0,0.0,0.0,0.0,0.0,44.44444,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.26829
16,0.0,0.0,0.0,0.0,0.0,0.0,67.90123,40.19607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.89673,31.68316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.47623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.48275,29.16666,31.91489,42.09591,74.17218,0.0,0.0,68.61702,41.98473,0.0,75.25252,0.0,0.0,100.0,52.56916,3.13588,68.18181,0.0,34.21052,22.6415,0.0,0.0,0.0,0.0,0.0,15.55555,53.57142,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,29.26829
17,0.0,0.0,0.0,0.0,0.0,0.0,54.32098,35.29411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,41.58415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.39838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.41379,20.83333,46.80851,42.80639,61.5894,0.0,0.0,64.3617,39.69465,0.0,79.79797,0.0,0.0,66.66666,53.75494,5.57491,90.90909,0.0,47.36842,22.6415,0.0,0.0,0.0,0.0,0.0,28.88888,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.90243
18,0.0,0.0,0.0,0.0,0.0,0.0,49.38271,43.13725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.27717,35.64356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7931,0.0,42.55319,37.30017,60.2649,0.0,0.0,58.51063,43.51145,0.0,27.27272,0.0,0.0,46.66666,80.23715,4.18118,68.18181,0.0,86.8421,9.43396,90.90909,0.0,0.0,0.0,0.0,51.11111,78.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.82926
19,0.0,0.0,0.0,0.0,0.0,0.0,59.25925,48.03921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.49456,42.57425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.31034,0.0,46.80851,34.99111,63.57615,0.0,0.0,61.17021,38.16793,0.0,29.29292,0.0,0.0,15.55555,67.19367,6.96864,42.42424,0.0,47.36842,24.5283,0.0,0.0,0.0,0.0,0.0,51.11111,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.39024
