,아리따움 모디 컬러 네일즈_0,아리따움 모디 컬러 네일즈_1,웨이크메이크 네일건_0,웨이크메이크 네일건_1,캐시캣 코드네일_0,캐시캣 코드네일_1,에뛰드 플레이 네일_0,에뛰드 플레이 네일_1,이니스프리 리얼 컬러 네일_0,이니스프리 리얼 컬러 네일_1,데보라립만 글리터 네일폴리쉬_0,데보라립만 글리터 네일폴리쉬_1,미샤 젤라틱 네일 폴리쉬_0,미샤 젤라틱 네일 폴리쉬_1,유키 젤네일 컬러_0,유키 젤네일 컬러_1,엘르걸 워너비 네일즈_0,엘르걸 워너비 네일즈_1,스킨푸드 생과일 네일  플럼 멜로우 _0,스킨푸드 생과일 네일  플럼 멜로우 _1,더샘 네일 웨어 젤 탑코트_0,더샘 네일 웨어 젤 탑코트_1,이니스프리 네일 탑코트_0,이니스프리 네일 탑코트_1,세쉐 Seche Vite 드라이 패스트 탑코트_0,세쉐 Seche Vite 드라이 패스트 탑코트_1,스킨푸드 허니 젤네일 탑코트_0,스킨푸드 허니 젤네일 탑코트_1,오피아이 탑코트_0,오피아이 탑코트_1,웨이크메이크 네일건 탑코트_0,웨이크메이크 네일건 탑코트_1,다이소 매트 탑코트_0,다이소 매트 탑코트_1,미샤 젤라틱 네일 폴리쉬  탑코트 _0,미샤 젤라틱 네일 폴리쉬  탑코트 _1,아리따움 모디 메가 탑코트_0,아리따움 모디 메가 탑코트_1,오피아이 베이스 코트_0,오피아이 베이스 코트_1,GRACIA지젤리 베이스젤_0,GRACIA지젤리 베이스젤_1,아리따움 모디 탑 젤_0,아리따움 모디 탑 젤_1,이니스프리 네일 베이스 코트_0,이니스프리 네일 베이스 코트_1,네이처리퍼블릭 컬러 앤 네이처 네일 케어 베이스 코트_0,네이처리퍼블릭 컬러 앤 네이처 네일 케어 베이스 코트_1,에뛰드 플레이 네일 스무딩 베이스 코트_0,에뛰드 플레이 네일 스무딩 베이스 코트_1,셀리한센 인스타드라이 탑코트_0,셀리한센 인스타드라이 탑코트_1,토니모리 토니네일 젤광 젤탑코트_0,토니모리 토니네일 젤광 젤탑코트_1,띵크오브네일 돼지탑_0,띵크오브네일 돼지탑_1,이니스프리 네일 젤탑코트_0,이니스프리 네일 젤탑코트_1,디어러스 라라네일탑 베이스코트_0,디어러스 라라네일탑 베이스코트_1,오호라 세미 큐어 젤  네일 _0,오호라 세미 큐어 젤  네일 _1,데싱디바  네일 팔레트 컬렉션  글로스 젤네일 스트립_0,데싱디바  네일 팔레트 컬렉션  글로스 젤네일 스트립_1,아리따움 모디 쥬얼 스티커_0,아리따움 모디 쥬얼 스티커_1,데싱디바  빅스톤 컬렉션  매직프레스 슈퍼 슬림핏_0,데싱디바  빅스톤 컬렉션  매직프레스 슈퍼 슬림핏_1,데싱디바  글램무브 컬렉션  글로스 젤네일 스트립_0,데싱디바  글램무브 컬렉션  글로스 젤네일 스트립_1,데싱디바 매직프레스 프리미엄_0,데싱디바 매직프레스 프리미엄_1,젤라또팩토리 하또하또핏 PRO 네일_0,젤라또팩토리 하또하또핏 PRO 네일_1,이니스프리 셀프 네일 스티커   디자인_0,이니스프리 셀프 네일 스티커   디자인_1,아리따움 모디 젤 네일 디자인 팁_0,아리따움 모디 젤 네일 디자인 팁_1,미샤 프렌치네일 팁 라이너_0,미샤 프렌치네일 팁 라이너_1
10,0.0,0.0,63.47826,52.17391,0.0,0.0,50.0,5.72916,25.88235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.98113,0.0,0.0
11,0.0,0.0,59.13043,49.27536,0.0,0.0,22.72727,7.29166,17.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.72327,0.0,0.0
12,66.66666,83.33333,59.13043,46.37681,0.0,0.0,100.0,4.16666,34.11764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.47058,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4654,0.0,0.0
13,0.0,0.0,78.26086,44.92753,0.0,0.0,36.36363,6.25,21.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.42138,0.0,0.0
14,0.0,0.0,73.91304,56.52173,0.0,0.0,36.36363,7.8125,30.58823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64705,65.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.83018,0.0,0.0
15,0.0,0.0,60.86956,60.14492,0.0,0.0,59.0909,3.125,37.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.52941,48.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.68553,0.0,0.0
16,0.0,0.0,100.0,45.65217,0.0,0.0,63.63636,4.16666,28.23529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70588,72.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14465,61.00628,0.0,0.0
17,0.0,0.0,84.34782,58.69565,0.0,0.0,45.45454,11.97916,14.11764,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14465,53.45911,0.0,0.0
18,0.0,0.0,65.21739,53.62318,0.0,0.0,63.63636,4.16666,22.35294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
19,83.33333,100.0,74.7826,40.57971,0.0,0.0,0.0,4.6875,23.52941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91823,46.54088,0.0,0.0
