,브랜상품
1700,바이탈뷰티 슈퍼 콜라겐
1701,DHC 아쿠아파워 히알루론산
1702,하나마이 순수      콜라겐
1703,큐브미 콜라겐 큐브
1704,베러데이 스킨데이
1705,브이에이피 스킨콜라겐젤리
1706,애플트리 김약사네 맛있는 이너뷰티 콜라겐C
1707,큐브미 워터뱅크 큐브
1708,뉴트리원비비랩 더 콜라겐     
1709,오르비스 콜라겐 엑설런트
1710,소버스 피부   히알루론   
1711,하나마이 피쉬      콜라겐
1712,이너비 아쿠아스틱
1713,그린몬스터 이너뷰티 이너콜라겐
1714,경남제약결콜라겐
1715,벨리불리 뷰티젤리 콜라겐 피치
1716,뉴트리원비비랩 더 콜라겐 파우더S
1717,뉴트리원비비랩 저분자콜라겐
1718,종근당건강 수분충전 아쿠아워너비
1719,종근당건강 아쿠아 콜라겐
1720,Doctor's BEST엘 카르니틴 푸마르산
1721,바이탈뷰티 슬림컷
1722,그린몬스터 다이어트  in  녹차카테킨     
1723,칼로바이 다밀 오곡맛
1724,프롬바이오 다이어트엔 와일드망고
1725,나우푸드 키토산
1726,벨리불리 에너지젤리 아르기닌 레몬
1727,칼로바이 다밀 허니바닐라맛
1728,세리박스 세리번 나이트
1729,그린몬스터 다이어트 스페셜  가르시니아    
1730,아리즈웰 웨이크 업 드링크
1731,소버스 다이어트 린바디 번   컷
1732,포티포 프로틴 쉐이크
1733,케이푸드 화이버슬림
1734,빼라 다이어트 스텝   할 수 있어
1735,글램디 이너라이트 CLA
1736,더리얼 리얼 가르시니아 버전    
1737,CJ제일제당 팻다운 아웃도어
1738,뺄리오콜라겟 워터젤리 복숭아맛
1739,뉴트리디데이 스페셜 올뉴
