,브랜상품
1900,니베아 맨 센서티브 쉐이빙 폼
1901,불독 오리지널 쉐이브 젤
1902,비오템옴므 아쿠아틱 로션 애프터 쉐이브
1903,니베아 맨 실버 프로텍트 쉐이빙 젤
1904,러쉬 프린스
1905,질레트 프로쉴드 옐로우 면도기
1906,니베아 맨 쿨 킥 쉐이빙 젤
1907,젠틀프로젝트 햄프씨드 쉐이빙 오일
1908,니베아 맨 센서티브 쉐이빙 젤
1909,니베아 맨 센서티브 애프터 쉐이브 로션
1910,질레트 포오미 레몬 라임 쉐이빙 크림
1911,록시땅 꺄드 애프터 쉐이브 밤
1912,러쉬 더티 쉐이빙 크림
1913,더페이스샵 더프레시 포맨 쉐이빙 폼
1914,쉬크 쉬크 하이드로 모이스춰폼
1915,클라랑스 맨 수퍼 모이스처 애프터 쉐이브 에너자이저
1916,불독 오리지널 에프터 쉐이브 밤
1917,질레트 프로글라이드 쉐이브젤 센서티브
1918,샤넬 블루 드 샤넬 애프터쉐이브 로션
1919,크리니크 해피 포 맨 애프터 쉐이브
1920,갸스비 무빙 락 스프레이 슈퍼하드
1921,스웨거 헤어 스터너 왁스 매트 하드 
1922,알페신 카페인 샴푸 C 
1923,XTM 이지 헤어라이너
1924,미쟝센 파 워스윙 스타일 킵 스프레이 
1925,스웨거 헤어 슬래머 포마드
1926,우르오스 스칼프샴푸
1927,제이슨 댄드러프 트리트먼트 샴푸
1928,미쟝센 파워스윙왁스맥스하드M 
1929,미쟝센 머그샷 이블락킹 워터스프레이
1930,갸스비 스타일링 젤 슈퍼하드
1931,바바리안H 마린브럴리티 포마드 왁스
1932,아베다 맨 퓨어 포먼스  컨디셔너
1933,수아베시토포마드 홀드 포마드
1934,블랙몬스터 다운 펌
1935,러쉬 칼라마주
1936,스웨거 헤어 스릴러 멘톨 샴푸
1937,스웨거 헤어 스터너 왁스 크림 타입  크리미 소프트 
1938,그라펜 해수 포마드
1939,로레알 프로페셔널 파리 테크니아트 스티프 왁스
