,브랜상품
1950,스웨거 남성 향수 샤워젤 룰브레이커
1951,스웨거 남성 향수 샤워젤 샷콜러
1952,니베아 맨 데오드란트 롤온 쿨 킥
1953,보드맨 패션 바디스프레이
1954,포맨트 퍼퓸 스프레이   코튼 허그
1955,니베아 맨 블랙 앤 화이트 스프레이
1956,포블랑시 남성청결제
1957,칼밋 데오드란트 바디워시
1958,디티알티 라스트 샷
1959,샤넬 블루 드 샤넬 샤워 젤
1960,스틸라 퍼펙트 아이 치크 팔레트
1961,페리페라 잉크 피팅 컬러 팔레트
1962,아임미미 아임 멀티 큐브
1963,16BRAND 마이 매거진
1964,라카 저스트 팔레트
1965,미샤 글로우  컬러 필터 섀도우 팔레트
1966,NYX 내추럴룩키트
1967,VT COSMETICS 데일리 팔레트
1968,이니스프리  토이스토리 컬렉션  로지 피기 팔레트
1969,에뛰드 플레이 컬러 멀티 팔레트
1970,어반디케이 백톡 아이 치크 멀티 팔레트
1971,바비브라운 파티 투 고 립   아이
1972,나스 아이 앤드 치크 팔레드 아토믹 블론드
1973,에스쁘아      S S 룩북 팔레트  허니멜로우 
1974,맥 미스치프 밍스 팔레트
1975,베네피트 치키 스토어웨이즈
1976,바비브라운 인스턴트 프리티 아이 앤 치크 팔레트
1977,에스쁘아    S S 룩북
1978,미샤 데어 컬렉션 페어리 비즈
1979,컨시크 클래식 멀티 팔레트
