,상품명
1922,알페신 C1
1923,XTM 헤어라이너
1924,미쟝센 스프레이9
1925,스웨거 포마드
1926,우르오스 스칼프샴푸
1927,제이슨 샴푸
1928,미쟝센 파워스윙왁스맥스하드M9
1929,미쟝센 워터스프레이
1931,바바리안H 왁스
1933,수아베시토포마드 포마드
1934,블랙몬스터 펌
1935,러쉬 칼라마주
1936,스웨거 샴푸
1937,스웨거 (크리미&소프트)
1938,그라펜 포마드
1939,로레알 프로페셔널 파리 왁스
1940,엠솔릭 워시
1941,우르오스 스킨워시
1942,XTM 퍼퓸건
1943,젠틀코드 [젠틀맨]
1944,미쟝센 샤워젤
1945,더바디샵 워시
1947,브로앤팁스 바디워시
1948,스킨푸드 포맨
1949,카밀 맨
1950,스웨거 룰브레이커
1951,스웨거 샷콜러
1952,니베아 맨 킥
1953,보드맨 바디스프레이
1954,포맨트 허그
1955,니베아 스프레이
1956,포블랑시 남성청결제
1957,칼밋 바디워시
1958,디티알티 샷
1959,샤넬 젤
1961,페리페라 팔레트
1962,아임미미 큐브
1963,16BRAND 매거진
1964,라카 팔레트
1966,NYX 내추럴룩키트
